DATE,Time,Temp
9/1/2019,00:53:00,74
9/1/2019,01:53:00,75
9/1/2019,02:53:00,73
9/1/2019,03:53:00,73
9/1/2019,04:53:00,72
9/1/2019,05:53:00,72
9/1/2019,06:53:00,76
9/1/2019,07:53:00,79
9/1/2019,08:53:00,83
9/1/2019,09:53:00,83
9/1/2019,10:53:00,85
9/1/2019,11:53:00,87
9/1/2019,12:53:00,88
9/1/2019,13:53:00,90
9/1/2019,14:53:00,92
9/1/2019,15:53:00,86
9/1/2019,16:53:00,86
9/1/2019,17:53:00,83
9/1/2019,18:53:00,81
9/1/2019,19:53:00,79
9/1/2019,20:53:00,78
9/1/2019,21:53:00,75
9/1/2019,22:53:00,75
9/1/2019,23:53:00,73
9/2/2019,00:53:00,73
9/2/2019,01:53:00,72
9/2/2019,02:53:00,72
9/2/2019,03:53:00,71
9/2/2019,04:53:00,71
9/2/2019,05:53:00,72
9/2/2019,06:53:00,76
9/2/2019,07:53:00,80
9/2/2019,08:53:00,83
9/2/2019,09:53:00,86
9/2/2019,10:53:00,88
9/2/2019,11:53:00,89
9/2/2019,12:53:00,91
9/2/2019,13:53:00,90
9/2/2019,14:53:00,91
9/2/2019,15:53:00,91
9/2/2019,16:53:00,90
9/2/2019,17:53:00,88
9/2/2019,18:53:00,82
9/2/2019,19:53:00,80
9/2/2019,20:53:00,78
9/2/2019,21:53:00,77
9/2/2019,22:53:00,76
9/2/2019,23:53:00,76
9/3/2019,00:53:00,74
9/3/2019,01:53:00,72
9/3/2019,02:53:00,71
9/3/2019,03:53:00,71
9/3/2019,04:53:00,70
9/3/2019,05:53:00,71
9/3/2019,06:53:00,79
9/3/2019,07:53:00,81
9/3/2019,08:53:00,85
9/3/2019,09:53:00,88
9/3/2019,10:53:00,90
9/3/2019,11:53:00,92
9/3/2019,12:53:00,91
9/3/2019,13:53:00,94
9/3/2019,14:53:00,92
9/3/2019,15:53:00,93
9/3/2019,16:53:00,92
9/3/2019,17:53:00,87
9/3/2019,18:53:00,84
9/3/2019,19:53:00,79
9/3/2019,20:53:00,79
9/3/2019,21:53:00,77
9/3/2019,22:53:00,76
9/3/2019,23:53:00,74
9/4/2019,00:53:00,73
9/4/2019,01:53:00,72
9/4/2019,02:53:00,71
9/4/2019,03:53:00,71
9/4/2019,04:53:00,69
9/4/2019,05:53:00,71
9/4/2019,06:53:00,76
9/4/2019,07:53:00,83
9/4/2019,08:53:00,87
9/4/2019,09:53:00,90
9/4/2019,10:53:00,91
9/4/2019,11:53:00,93
9/4/2019,12:53:00,94
9/4/2019,13:53:00,94
9/4/2019,14:53:00,94
9/4/2019,15:53:00,93
9/4/2019,16:53:00,92
9/4/2019,17:53:00,89
9/4/2019,18:53:00,83
9/4/2019,19:53:00,81
9/4/2019,20:53:00,79
9/4/2019,21:53:00,79
9/4/2019,22:53:00,78
9/4/2019,23:53:00,75
9/5/2019,00:53:00,74
9/5/2019,01:53:00,73
9/5/2019,02:53:00,73
9/5/2019,03:53:00,72
9/5/2019,04:53:00,72
9/5/2019,05:53:00,73
9/5/2019,06:53:00,77
9/5/2019,07:53:00,80
9/5/2019,08:53:00,84
9/5/2019,09:53:00,87
9/5/2019,10:53:00,89
9/5/2019,11:53:00,91
9/5/2019,12:53:00,91
9/5/2019,13:53:00,92
9/5/2019,14:53:00,92
9/5/2019,15:53:00,91
9/5/2019,16:53:00,89
9/5/2019,17:53:00,85
9/5/2019,18:53:00,81
9/5/2019,19:53:00,79
9/5/2019,20:53:00,77
9/5/2019,21:53:00,73
9/5/2019,22:53:00,72
9/5/2019,23:53:00,69
9/6/2019,00:53:00,65
9/6/2019,01:53:00,65
9/6/2019,02:53:00,64
9/6/2019,03:53:00,63
9/6/2019,04:53:00,62
9/6/2019,05:53:00,62
9/6/2019,06:53:00,68
9/6/2019,07:53:00,73
9/6/2019,08:53:00,79
9/6/2019,09:53:00,81
9/6/2019,10:53:00,83
9/6/2019,11:53:00,86
9/6/2019,12:53:00,88
9/6/2019,13:53:00,90
9/6/2019,14:53:00,91
9/6/2019,15:53:00,90
9/6/2019,16:53:00,89
9/6/2019,17:53:00,86
9/6/2019,18:53:00,84
9/6/2019,19:53:00,77
9/6/2019,20:53:00,78
9/6/2019,21:53:00,76
9/6/2019,22:53:00,75
9/6/2019,23:53:00,74
